epoch,accuracy,loss,val_accuracy,val_loss
0,0.7329999804496765,0.850435197353363,0.8324999809265137,0.3510195016860962
1,0.8389999866485596,0.36861512064933777,0.8462499976158142,0.3461112678050995
2,0.8759999871253967,0.3329118490219116,0.8799999952316284,0.27571961283683777
3,0.9039999842643738,0.24579933285713196,0.90625,0.250287801027298
4,0.9010000228881836,0.24086275696754456,0.8287500143051147,0.5792782306671143
5,0.9290000200271606,0.17720413208007812,0.8974999785423279,0.2802659869194031
6,0.9350000023841858,0.1592159867286682,0.8862500190734863,0.32262635231018066
7,0.9359999895095825,0.14767244458198547,0.887499988079071,0.4194307327270508
8,0.9559999704360962,0.11935178935527802,0.8862500190734863,0.35426539182662964
9,0.9539999961853027,0.09924154728651047,0.831250011920929,0.6999239325523376
